,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2004-12-31,1.086,1.1881,0.9494,1.0605,1.114,1.055,0.934,0.9454
2005-01-04,1.072,1.172,0.94,1.0487,1.101,1.044,0.9177,0.9326
2005-01-05,1.073,1.1753,0.9426,1.0541,1.105,1.046,0.9204,0.9342
2005-01-06,1.066,1.1701,0.9403,1.049,1.101,1.037,0.9111,0.9268
2005-01-07,1.063,1.1673,0.9411,1.0495,1.101,1.036,0.9055,0.9261
2005-01-10,1.069,1.1721,0.9458,1.0586,1.108,1.045,0.9099,0.9307
2005-01-11,1.071,1.175,0.9502,1.0596,1.114,1.046,0.9114,0.9329
2005-01-12,1.072,1.1764,0.9506,1.0604,1.116,1.045,0.9138,0.9347
2005-01-13,1.073,1.1767,0.9493,1.0626,1.112,1.045,0.917,0.9357
2005-01-14,1.069,1.1718,0.9461,1.0601,1.109,1.038,0.913,0.932
2005-01-17,1.062,1.1629,0.9377,1.0557,1.099,1.029,0.9009,0.9236
2005-01-18,1.064,1.1611,0.9355,1.0575,1.098,1.032,0.9003,0.9242
2005-01-19,1.056,1.1547,0.9306,1.0496,1.092,1.026,0.8972,0.9195
2005-01-20,1.051,1.1504,0.9273,1.0442,1.085,1.019,0.8911,0.9145
2005-01-21,1.064,1.1659,0.935,1.0549,1.102,1.039,0.9077,0.9304
2005-01-24,1.072,1.1743,0.9397,1.0655,1.109,1.05,0.9205,0.9396
2005-01-25,1.077,1.1771,0.9442,1.072,1.11,1.052,0.9273,0.9438
2005-01-26,1.076,1.1749,0.9441,1.0716,1.108,1.05,0.9216,0.9411
2005-01-27,1.07,1.1669,0.9391,1.0666,1.102,1.035,0.9137,0.9341
2005-01-28,1.07,1.1643,0.9376,1.0655,1.102,1.035,0.9101,0.932
2005-01-31,1.069,1.1624,0.936,1.0661,1.1,1.027,0.9092,0.93
2005-02-01,1.072,1.1632,0.9324,1.0661,1.1,1.029,0.9155,0.931
2005-02-02,1.1,1.1981,0.9566,1.094,1.131,1.06,0.947,0.9604
2005-02-03,1.095,1.1929,0.953,1.0901,1.126,1.051,0.9437,0.9567
2005-02-04,1.109,1.2137,0.9646,1.1054,1.141,1.07,0.9572,0.9718
2005-02-16,1.112,1.2143,0.9681,1.1065,1.146,1.072,0.9604,0.9757
2005-02-17,1.102,1.207,0.9604,1.0964,1.136,1.067,0.9529,0.9694
2005-02-18,1.095,1.1983,0.9533,1.0917,1.126,1.057,0.9444,0.9623
2005-02-21,1.109,1.212,0.9669,1.1064,1.143,1.071,0.9592,0.9751
2005-02-22,1.121,1.2234,0.9767,1.1194,1.156,1.084,0.9717,0.9881
2005-02-23,1.116,1.2201,0.9712,1.1177,1.153,1.084,0.9689,0.9856
2005-02-24,1.113,1.2186,0.9693,1.1194,1.149,1.085,0.9652,0.9846
2005-02-25,1.115,1.2206,0.9726,1.1204,1.153,1.088,0.9666,0.9876
2005-02-28,1.111,1.2151,0.9723,1.1186,1.149,1.082,0.9677,0.9839
2005-03-01,1.107,1.2111,0.9697,1.114,1.145,1.076,0.9638,0.9796
2005-03-02,1.097,1.2009,0.9626,1.1049,1.137,1.07,0.9532,0.972
2005-03-03,1.102,1.205,0.966,1.1109,1.141,1.073,0.9581,0.9734
2005-03-04,1.102,1.2049,0.9691,1.1164,1.141,1.071,0.9604,0.9723
2005-03-07,1.11,1.2111,0.9755,1.1286,1.151,1.076,0.9644,0.9782
2005-03-08,1.122,1.2232,0.9873,1.1449,1.166,1.088,0.9804,0.9915
2005-03-09,1.121,1.2221,0.9917,1.1483,1.17,1.085,0.9782,0.9911
2005-03-10,1.109,1.2095,0.9815,1.1374,1.157,1.072,0.9646,0.9789
2005-03-11,1.122,1.2147,0.9933,1.1547,1.165,1.067,0.9737,0.982
2005-03-14,1.139,1.2233,1.0117,1.1766,1.178,1.074,0.9862,0.9906
2005-03-15,1.127,1.2092,1.0006,1.1614,1.165,1.061,0.9724,0.9797
2005-03-16,1.119,1.1984,0.9931,1.1506,1.156,1.054,0.9643,0.9719
2005-03-17,1.119,1.1963,0.9951,1.1531,1.151,1.051,0.9606,0.9653
2005-03-18,1.109,1.1903,0.9823,1.1434,1.142,1.047,0.9523,0.9582
2005-03-21,1.115,1.1911,0.9884,1.1529,1.15,1.048,0.9541,0.9618
2005-03-22,1.125,1.1941,0.9999,1.1707,1.154,1.036,0.9537,0.959
2005-03-23,1.112,1.1875,0.99,1.1614,1.148,1.036,0.9457,0.9558
2005-03-24,1.102,1.1852,0.9828,1.1447,1.141,1.034,0.9422,0.9535
2005-03-25,1.104,1.1869,0.9849,1.1473,1.143,1.034,0.9442,0.9539
2005-03-28,1.112,1.1915,0.9893,1.1635,1.148,1.03,0.9472,0.9551
2005-03-29,1.106,1.1872,0.9842,1.1592,1.142,1.028,0.9455,0.952
2005-03-30,1.095,1.1808,0.9728,1.1441,1.134,1.019,0.9339,0.9427
2005-03-31,1.1,1.1857,0.9773,1.1479,1.139,1.026,0.9398,0.9464
